linid;category;rate;installs
74bc57b7d2430edb20aebf1c72fa6ab5f5b2c89b19f8d42004001f806c890149;Tools;4.3;100,000+
e8dac0882334f90508ee6d6797f695f9170632e5a6e4fc69be8d15d972d49e2d;Personalization;4.6;50,000,000+
58079821302ff15e2e1cee981e22a4b42cf91637a3ef9064c2879ec5bf581b44;Music & Audio;4.2;1,000,000+
92f7ffc3316615dc69f34b8eee5de3857a16c8c7051277133b3a3c8a68f9a97d;Educational;4.0;500,000+
9378d38648dcd0be7322c4c3f8cbf85de2239865b54ee67b4eab3175409870df;Weather;4.4;1,000,000+
6b083b370d82bf05f46c6623a1859080e93ff1c7cf652bf44f61b89d90d496f6;Productivity;4.6;10,000+
d267bdbf28e79f14eaa3167c8d9d3e1f12e852ef7c9d305b5b0d53ca160e0fe9;Adventure;2.3;50,000+
d9249ac01688ae3b68a89892ee4de4ae53d780cdf7baa9b3c4b62ce458cb502c;Puzzle;3.9;5,000,000+
190d6cc98875956cb449ddba11c8129c3e3fdd7241266ebda0a8e7c42df55ab6;Finance;3.0;10,000,000+
ec9a08d076a8bc1ab2d43ce4410ed4987cc53c584a1f5d59bbe6570e82fdc441;Music & Audio;4.2;1,000,000+
c902bca758543d2e643578c42135d66af779e3d0ce5b55ea4273d19be7eef4a0;Music & Audio;4.2;1,000,000+
588adf069bbad3eaa6c48c8b9729b20d5d62d51774ba7e0fd01e76a584840b55;Casual;4.4;1,000,000+
1110e9c547aea7a9258fc45de5a16285713a77b54766efcceb09f07d54681f7c;Business;3.1;10,000+
a6cada6cb78c935a509c683838f9f4c54bf0ff29df04208d04468828ef327968;Tools;4.0;100,000+
7c6748fd0455e887ac0ceb8a9ad8dee6f1816b33125204d5900c8a86d462e5d4;Puzzle;4.6;1,000,000+
b997036a939a0384d2e16d5d064eb20c49a95a42ec97160c65a0a2993aadeb02;Video Players & Editors;4.2;5,000,000+
3d918ba9767271ba8662d477a8b80f543cedd9bae773e3e2e45d988a4855b7ed;Card;4.5;10,000,000+
b5fa967f1871f52ab48ca4de5be01a2498d3373d4bee42de65c6b56915fe3ab8;Social;4.6;1,000+
9b26a1cbbbaf1373fa6c74424c8f235f5788470fff8ba6950830d1529643ea79;Tools;4.8;1,000+
c5f7ca24d6bed5f85c335a9d1106756de9524e160d61090d3514fe493a78826f;Social;3.9;100,000+
3fac0707d8bf350cbdad79cb8bd2519559b077d55366e6de29dff45a190e5511;Tools;4.2;5,000,000+
6093e30a4d2a96e829471876112e741f66e0a1aea4decac5806a444dfae29d22;Sports;4.6;100,000+
a269ccd1e2e4115adf3e13dfaf7f804a403f9a297d41528a2212322cb4968bb3;Photography;4.6;10,000,000+
b6080408da21a23e16fca944550191b5583bdd1a24b75ef163b4abad2bfd340e;Puzzle;4.6;10,000,000+
0866897ecd29208b4555a8c73832f3824ce31d28e8618ec1d9d49204faf13514;News & Magazines;4.1;1,000,000+
8eb72c3faae3f3e219e889ea033cc8ec52900a7224921f279675ca3025ae7250;Finance;4.0;5,000+
358bf13bdec7ef3217c32dfe19e786b547a93dd039b604def64fedc11dc6d8a9;Books & Reference;4.3;1,000,000+
93d3fbe6d57921d5cc9626d4b12ef78cfd4d2821603a57f3139d7f7acf1ab89d;Tools;4.7;1,000,000,000+
d85dadaf271f7edd1f4bccbe54d472adcd34df540c3316d0babafc9d73883a52;Personalization;4.3;500,000+
321f8215c1ef13233c7b58208748140d68f380059ae3db76de5afd56ea2047ad;Video Players & Editors;3.8;100,000+
2d7c0ab529735e7b4eb462623182b28a89a7bcb2a43c88de531149fd45fac117;Tools;4.3;1,000,000+
72d0349d6b7e440f1c26256776dd0220d306db228cb765c0ce0828526df5b56a;Books & Reference;4.4;1,000+
4c2ea7b795158fe2d8ed0fc09a7929ffa5fb306561f29e670afdc1afd64e4585;Education;4.2;50,000+
dbdf56875e4ba5c06cdec93ff8f33f5a1f2b90488816bb814184da7329d7a16f;Social;4.6;100,000,000+
40035d218fb21660b59e1555818dc7b786432a89da5b7d9974f56acc71f8e418;Photography;4.4;10,000,000+
fdca6310a6cb2879f0259b62965fb35fe52b5d3ec15a1bea5ae968c7f473b978;Educational;4.1;5,000,000+
57fb5b05a90a9a9753753724abf3dbff8e44446f57e0c7043146d5cf8ba35840;Tools;4.6;500,000+
4b4025d5a82015f8800dfa581a795dcd31c70e56c4e2fd3fd318c830f82453bf;Education;4.3;1,000,000+
977cdbba1e889159f12f202a0145dd707a417909a5d56b113c80b0c7db7cc76d;Tools;3.4;1,000,000+
